epoch,grp_spar,ovall_spar,spar_groups,penalty_groups
1.0,0.0027,0.1049,10.0,1993.0
2.0,0.003,0.1122,11.0,1993.0
3.0,0.003,0.1186,11.0,1993.0
4.0,0.0027,0.1238,10.0,1993.0
5.0,0.003,0.1291,11.0,1993.0
6.0,0.0038,0.1385,14.0,1993.0
7.0,0.004,0.1486,15.0,1993.0
8.0,0.0059,0.1597,22.0,1993.0
9.0,0.0065,0.1715,24.0,1993.0
10.0,0.0084,0.185,31.0,1993.0
11.0,0.0105,0.1971,39.0,1993.0
12.0,0.0143,0.2092,53.0,1993.0
13.0,0.0197,0.2213,73.0,1993.0
14.0,0.0218,0.2319,81.0,1993.0
15.0,0.0245,0.2392,91.0,1993.0
16.0,0.0253,0.2513,94.0,1993.0
17.0,0.0288,0.2607,107.0,1993.0
18.0,0.0353,0.2704,131.0,1993.0
19.0,0.0412,0.2768,153.0,1993.0
20.0,0.0455,0.2834,169.0,1993.0
21.0,0.0488,0.2936,181.0,1993.0
22.0,0.055,0.2996,204.0,1993.0
23.0,0.0579,0.3036,215.0,1993.0
24.0,0.0644,0.3075,239.0,1993.0
25.0,0.0698,0.313,259.0,1993.0
26.0,0.0727,0.3169,270.0,1993.0
27.0,0.076,0.3222,282.0,1993.0
28.0,0.0795,0.3285,295.0,1993.0
29.0,0.0849,0.3339,315.0,1993.0
30.0,0.0935,0.3387,347.0,1993.0
31.0,0.0929,0.3396,345.0,1993.0
32.0,0.0929,0.3445,345.0,1993.0
33.0,0.0989,0.3508,367.0,1993.0
34.0,0.1018,0.3509,378.0,1993.0
35.0,0.0991,0.3526,368.0,1993.0
36.0,0.1008,0.3557,374.0,1993.0
37.0,0.1016,0.3595,377.0,1993.0
38.0,0.1037,0.3639,385.0,1993.0
39.0,0.1048,0.3643,389.0,1993.0
40.0,0.1056,0.3666,392.0,1993.0
41.0,0.1064,0.3688,395.0,1993.0
42.0,0.108,0.3748,401.0,1993.0
43.0,0.1088,0.3753,404.0,1993.0
44.0,0.1091,0.3763,405.0,1993.0
45.0,0.1099,0.3773,408.0,1993.0
46.0,0.1107,0.3782,411.0,1993.0
47.0,0.108,0.3785,401.0,1993.0
48.0,0.1123,0.3841,417.0,1993.0
49.0,0.1126,0.3827,418.0,1993.0
50.0,0.1129,0.3852,419.0,1993.0
51.0,0.1148,0.3851,426.0,1993.0
52.0,0.1183,0.3889,439.0,1993.0
53.0,0.1169,0.3894,434.0,1993.0
54.0,0.1199,0.3898,445.0,1993.0
55.0,0.1212,0.3913,450.0,1993.0
56.0,0.1169,0.3925,434.0,1993.0
57.0,0.1212,0.3957,450.0,1993.0
58.0,0.1169,0.3929,434.0,1993.0
59.0,0.1166,0.3941,433.0,1993.0
60.0,0.1202,0.3969,446.0,1993.0
61.0,0.1193,0.3998,443.0,1993.0
62.0,0.1193,0.398,443.0,1993.0
63.0,0.1223,0.4027,454.0,1994.0
64.0,0.1245,0.4024,462.0,1994.0
65.0,0.122,0.4059,453.0,1994.0
66.0,0.122,0.4016,453.0,1994.0
67.0,0.1202,0.4018,446.0,1994.0
68.0,0.1215,0.4046,451.0,1994.0
69.0,0.1253,0.4067,465.0,1994.0
70.0,0.1255,0.4085,466.0,1994.0
71.0,0.1228,0.4094,456.0,1994.0
72.0,0.1231,0.4089,457.0,1994.0
73.0,0.1247,0.4122,463.0,1994.0
74.0,0.1274,0.4111,473.0,1994.0
75.0,0.1263,0.412,469.0,1994.0
76.0,0.1247,0.4132,463.0,1994.0
77.0,0.1285,0.4155,477.0,1994.0
78.0,0.1269,0.4125,471.0,1994.0
79.0,0.1272,0.4124,472.0,1994.0
80.0,0.1274,0.4145,473.0,1994.0
81.0,0.17,0.4344,631.0,1994.0
82.0,0.2072,0.4479,769.0,1994.0
83.0,0.2476,0.4576,919.0,1994.0
84.0,0.2748,0.464,1020.0,1994.0
85.0,0.2977,0.4695,1105.0,1994.0
86.0,0.3128,0.4723,1161.0,1994.0
87.0,0.3235,0.4752,1201.0,1994.0
88.0,0.3289,0.4764,1221.0,1994.0
89.0,0.3367,0.4779,1250.0,1994.0
90.0,0.3413,0.4797,1267.0,1994.0
91.0,0.3421,0.4801,1270.0,1994.0
92.0,0.3448,0.4815,1280.0,1994.0
93.0,0.3451,0.481,1281.0,1994.0
94.0,0.3451,0.4821,1281.0,1994.0
95.0,0.3448,0.4823,1280.0,1994.0
96.0,0.3456,0.4827,1283.0,1994.0
97.0,0.347,0.4822,1288.0,1994.0
98.0,0.3464,0.4835,1286.0,1994.0
99.0,0.3467,0.4838,1287.0,1994.0
100.0,0.3464,0.4844,1286.0,1994.0
101.0,0.3459,0.4843,1284.0,1994.0
102.0,0.347,0.4842,1288.0,1994.0
103.0,0.3475,0.4846,1290.0,1994.0
104.0,0.3502,0.4849,1300.0,1994.0
105.0,0.3502,0.4852,1300.0,1994.0
106.0,0.3505,0.4849,1301.0,1994.0
107.0,0.3483,0.4848,1293.0,1994.0
108.0,0.3494,0.485,1297.0,1994.0
109.0,0.3491,0.4838,1296.0,1994.0
110.0,0.3486,0.4848,1294.0,1994.0
111.0,0.3516,0.485,1305.0,1994.0
112.0,0.3513,0.4854,1304.0,1994.0
113.0,0.3513,0.4844,1304.0,1994.0
114.0,0.3532,0.4864,1311.0,1994.0
115.0,0.3534,0.4854,1312.0,1994.0
116.0,0.3513,0.4851,1304.0,1994.0
117.0,0.3499,0.4854,1299.0,1994.0
118.0,0.3529,0.4853,1310.0,1994.0
119.0,0.3513,0.4854,1304.0,1994.0
120.0,0.3489,0.4855,1295.0,1994.0
121.0,0.3502,0.4863,1300.0,1994.0
122.0,0.3534,0.4871,1312.0,1994.0
123.0,0.3534,0.4875,1312.0,1994.0
124.0,0.3548,0.4882,1317.0,1994.0
125.0,0.3564,0.4885,1323.0,1994.0
126.0,0.3575,0.4888,1327.0,1994.0
127.0,0.3586,0.4894,1331.0,1994.0
128.0,0.3591,0.4896,1333.0,1994.0
129.0,0.3583,0.4898,1330.0,1994.0
130.0,0.3602,0.49,1337.0,1994.0
131.0,0.3623,0.4905,1345.0,1994.0
132.0,0.3629,0.4907,1347.0,1994.0
133.0,0.3631,0.4909,1348.0,1994.0
134.0,0.3623,0.4907,1345.0,1994.0
135.0,0.3621,0.4908,1344.0,1994.0
136.0,0.3631,0.4912,1348.0,1994.0
137.0,0.3623,0.4914,1345.0,1994.0
138.0,0.3618,0.4914,1343.0,1994.0
139.0,0.3626,0.4914,1346.0,1994.0
140.0,0.3634,0.4912,1349.0,1994.0
141.0,0.365,0.4916,1355.0,1994.0
