epoch,grp_spar,ovall_spar,spar_groups,penalty_groups
1.0,0.0027,0.1146,10.0,2003.0
2.0,0.003,0.1407,11.0,2003.0
3.0,0.003,0.1682,11.0,2003.0
4.0,0.0027,0.1732,10.0,2003.0
5.0,0.0038,0.1839,14.0,2003.0
6.0,0.004,0.2041,15.0,2003.0
7.0,0.007,0.2144,26.0,2003.0
8.0,0.0121,0.2255,45.0,2003.0
9.0,0.0178,0.2347,66.0,2003.0
10.0,0.0216,0.2443,80.0,2003.0
11.0,0.0226,0.2471,84.0,2003.0
12.0,0.028,0.257,104.0,2003.0
13.0,0.0329,0.2678,122.0,2003.0
14.0,0.0374,0.2735,139.0,2003.0
15.0,0.042,0.2815,156.0,2003.0
16.0,0.0471,0.2883,175.0,2003.0
17.0,0.0498,0.2971,185.0,2003.0
18.0,0.0528,0.3019,196.0,2003.0
19.0,0.0528,0.3028,196.0,2003.0
20.0,0.0663,0.3118,246.0,2003.0
21.0,0.0703,0.3162,261.0,2003.0
22.0,0.0757,0.318,281.0,2003.0
23.0,0.0792,0.3222,294.0,2003.0
24.0,0.0819,0.3267,304.0,2003.0
25.0,0.0857,0.329,318.0,2003.0
26.0,0.0867,0.3332,322.0,2003.0
27.0,0.0881,0.3376,327.0,2003.0
28.0,0.0878,0.3384,326.0,2003.0
29.0,0.0919,0.3418,341.0,2003.0
30.0,0.0924,0.3448,343.0,2003.0
31.0,0.0929,0.3492,345.0,2003.0
32.0,0.0981,0.3534,364.0,2003.0
33.0,0.0981,0.3523,364.0,2003.0
34.0,0.0954,0.3507,354.0,2003.0
35.0,0.0989,0.3545,367.0,2003.0
36.0,0.0989,0.357,367.0,2003.0
37.0,0.0962,0.3559,357.0,2003.0
38.0,0.0989,0.3573,367.0,2003.0
39.0,0.0999,0.359,371.0,2003.0
40.0,0.0975,0.3595,362.0,2003.0
41.0,0.0989,0.3599,367.0,2003.0
42.0,0.0986,0.3653,366.0,2003.0
43.0,0.0989,0.365,367.0,2003.0
44.0,0.1008,0.3656,374.0,2003.0
45.0,0.0989,0.3706,367.0,2003.0
46.0,0.1005,0.3701,373.0,2003.0
47.0,0.101,0.372,375.0,2003.0
48.0,0.1002,0.3725,372.0,2003.0
49.0,0.1008,0.3704,374.0,2003.0
50.0,0.1045,0.373,388.0,2003.0
51.0,0.1013,0.3722,376.0,2003.0
52.0,0.0994,0.3752,369.0,2003.0
53.0,0.1005,0.3752,373.0,2003.0
54.0,0.1029,0.3772,382.0,2003.0
55.0,0.1016,0.3743,377.0,2003.0
56.0,0.1048,0.3794,389.0,2003.0
57.0,0.1024,0.377,380.0,2003.0
58.0,0.1078,0.3805,400.0,2003.0
59.0,0.1051,0.3802,390.0,2003.0
60.0,0.1059,0.3801,393.0,2003.0
61.0,0.1051,0.3814,390.0,2003.0
62.0,0.1021,0.3808,379.0,2003.0
63.0,0.1034,0.3801,384.0,2003.0
64.0,0.1067,0.3835,396.0,2003.0
65.0,0.1061,0.3853,394.0,2003.0
66.0,0.1059,0.3846,393.0,2003.0
67.0,0.1067,0.3855,396.0,2003.0
68.0,0.1067,0.3839,396.0,2003.0
