epoch,grp_spar,ovall_spar,spar_groups,penalty_groups
1.0,0.0027,0.1071,10.0,649.0
2.0,0.0027,0.1208,10.0,675.0
3.0,0.0027,0.125,10.0,722.0
4.0,0.0043,0.1357,16.0,774.0
5.0,0.0051,0.1455,19.0,822.0
6.0,0.0067,0.1525,25.0,856.0
7.0,0.0062,0.1593,23.0,904.0
8.0,0.0084,0.1665,31.0,940.0
9.0,0.0108,0.1724,40.0,971.0
10.0,0.0119,0.1782,44.0,1003.0
11.0,0.0129,0.1834,48.0,1053.0
12.0,0.0137,0.1914,51.0,1088.0
13.0,0.0164,0.1982,61.0,1124.0
14.0,0.0183,0.2023,68.0,1155.0
15.0,0.0218,0.2062,81.0,1182.0
16.0,0.0221,0.2137,82.0,1207.0
17.0,0.0242,0.2188,90.0,1229.0
18.0,0.0259,0.2278,96.0,1251.0
19.0,0.0294,0.2306,109.0,1270.0
20.0,0.031,0.2352,115.0,1286.0
21.0,0.0318,0.2426,118.0,1318.0
22.0,0.0326,0.2483,121.0,1337.0
23.0,0.0356,0.2515,132.0,1349.0
24.0,0.0377,0.2562,140.0,1370.0
25.0,0.0383,0.2603,142.0,1383.0
26.0,0.0401,0.2677,149.0,1400.0
27.0,0.0396,0.268,147.0,1422.0
28.0,0.0412,0.2658,153.0,1448.0
29.0,0.0447,0.2713,166.0,1471.0
30.0,0.0469,0.2762,174.0,1497.0
31.0,0.0496,0.2808,184.0,1508.0
32.0,0.0482,0.2869,179.0,1521.0
33.0,0.0506,0.2869,188.0,1532.0
34.0,0.0523,0.2905,194.0,1541.0
35.0,0.0541,0.2934,201.0,1552.0
36.0,0.0523,0.2967,194.0,1562.0
37.0,0.0541,0.3,201.0,1581.0
38.0,0.0536,0.3028,199.0,1590.0
39.0,0.0552,0.304,205.0,1614.0
40.0,0.0595,0.31,221.0,1623.0
41.0,0.0595,0.3121,221.0,1631.0
42.0,0.0595,0.3116,221.0,1642.0
43.0,0.0636,0.3179,236.0,1654.0
44.0,0.0649,0.3194,241.0,1660.0
45.0,0.0641,0.3213,238.0,1673.0
46.0,0.0676,0.3231,251.0,1685.0
47.0,0.0714,0.3256,265.0,1699.0
48.0,0.0676,0.3272,251.0,1709.0
49.0,0.0725,0.3282,269.0,1710.0
50.0,0.0789,0.3303,293.0,1719.0
51.0,0.0843,0.3396,313.0,1734.0
52.0,0.0819,0.3364,304.0,1741.0
53.0,0.0824,0.3382,306.0,1745.0
54.0,0.0846,0.3398,314.0,1754.0
55.0,0.0843,0.3458,313.0,1763.0
56.0,0.0916,0.3464,340.0,1768.0
57.0,0.0894,0.3482,332.0,1773.0
58.0,0.0954,0.3498,354.0,1778.0
59.0,0.0962,0.3519,357.0,1781.0
60.0,0.0967,0.354,359.0,1787.0
61.0,0.0951,0.3538,353.0,1791.0
62.0,0.0994,0.356,369.0,1799.0
63.0,0.0943,0.3574,350.0,1808.0
64.0,0.1029,0.3622,382.0,1813.0
65.0,0.0989,0.36,367.0,1819.0
66.0,0.097,0.3613,360.0,1827.0
67.0,0.0946,0.3596,351.0,1835.0
68.0,0.0943,0.3598,350.0,1841.0
69.0,0.1083,0.3678,402.0,1849.0
70.0,0.1037,0.3665,385.0,1858.0
71.0,0.1105,0.3682,410.0,1862.0
72.0,0.1086,0.3703,403.0,1863.0
73.0,0.1096,0.3746,407.0,1871.0
74.0,0.1099,0.3735,408.0,1885.0
75.0,0.1102,0.3752,409.0,1893.0
76.0,0.1067,0.3793,396.0,1899.0
77.0,0.1094,0.3756,406.0,1907.0
78.0,0.1191,0.381,442.0,1909.0
79.0,0.1115,0.3793,414.0,1915.0
80.0,0.1231,0.384,457.0,1918.0
81.0,0.1797,0.4141,667.0,1918.0
82.0,0.2123,0.4351,788.0,1918.0
83.0,0.2355,0.4512,874.0,1918.0
84.0,0.2619,0.4631,972.0,1919.0
85.0,0.2931,0.4723,1088.0,1919.0
86.0,0.3047,0.4784,1131.0,1919.0
87.0,0.3238,0.4829,1202.0,1919.0
88.0,0.3389,0.4859,1258.0,1921.0
89.0,0.3489,0.4878,1295.0,1921.0
90.0,0.3537,0.4899,1313.0,1922.0
91.0,0.3591,0.4909,1333.0,1922.0
92.0,0.3621,0.4913,1344.0,1923.0
93.0,0.3642,0.4925,1352.0,1925.0
94.0,0.3653,0.4924,1356.0,1925.0
95.0,0.364,0.4931,1351.0,1925.0
96.0,0.3656,0.4939,1357.0,1928.0
97.0,0.3613,0.4939,1341.0,1929.0
98.0,0.3594,0.4947,1334.0,1930.0
99.0,0.3594,0.4951,1334.0,1932.0
100.0,0.3521,0.4944,1307.0,1933.0
101.0,0.3559,0.4949,1321.0,1933.0
102.0,0.351,0.495,1303.0,1934.0
103.0,0.344,0.4944,1277.0,1935.0
104.0,0.3351,0.4947,1244.0,1935.0
105.0,0.3359,0.4942,1247.0,1937.0
106.0,0.3314,0.4939,1230.0,1940.0
107.0,0.3244,0.4937,1204.0,1940.0
108.0,0.3252,0.4942,1207.0,1942.0
109.0,0.3219,0.4936,1195.0,1942.0
110.0,0.3101,0.4935,1151.0,1943.0
111.0,0.3052,0.4929,1133.0,1948.0
112.0,0.3047,0.4931,1131.0,1954.0
113.0,0.2953,0.4921,1096.0,1955.0
114.0,0.2934,0.4925,1089.0,1960.0
115.0,0.2869,0.4925,1065.0,1963.0
116.0,0.2707,0.4909,1005.0,1967.0
117.0,0.2686,0.4907,997.0,1970.0
